с,Група,Задача,Оцінка (год),Оцінка (год) факт,Результат / Критерій завершення,Дата початку спринта,Дата завершення спринта
1.2,Налаштування системи,Налаштування ієрархічної структури компанії.,1,_,"Структура відділів створена в модулі ""Співробітники"".",,
1.3,Налаштування системи,Створення 1-2 співробітників на кожен відділ. Дані переносяться вручну з системи клієнта.,"0,5",_,Співробітники створені та прив'язані до відповідних відділів.,,
1.1,Налаштування системи,"Встановлення базових модулів (Продажі, POS, Закупки, Рахунки, Виробництво, Співробітники).","0,5","3,9","Модулі встановлені, доступні в головному меню.",,
1.4,Налаштування системи,Створення 3-х контактів-клієнтів. Дані переносяться вручну з системи клієнта в стандартні поля Odoo.,"0,5",,"Контакти з типом ""Клієнт"" і заповненими базовими полями існують в системі.",,
1.5,Налаштування системи,"Налаштування POS ""Рецепція"": створення точки, прив'язка журналу, співробітника, способів оплати.",1,,"Сесія POS ""Рецепція"" відкривається без помилок. Можна провести тестовий продаж.",,
1.6,Налаштування системи,"Налаштування POS Restaurant ""Бар"": створення точки, прив'язка журналу, співробітника, способів оплати.",1,,"Сесія POS ""Бар"" відкривається без помилок. Можна провести тестовий продаж.",,
1.7,Налаштування системи,"Налаштування Складу: базові локації, категорії товарів, одиниці виміру - мінімальні налаштування для 10 товарів.",1,,"Конфігурація модуля ""Склад"" відповідає базовим потребам.",,
1.8,Налаштування системи,"Створення товарів: 3 послуги, 5 розхідних товарів, 2 товари для виробництва. Дані переносяться вручну з системи клієнта.","1,5",,"10 продуктів створено в системі з коректними типами (""Послуга"", ""Товар, що зберігається"").",,
1.9,Налаштування системи,Створення 2-х специфікацій (BoM) для відповідних товарів.,"1,5",,Специфікації прикріплені до товарів. При створенні виробничого замовлення коректно підтягуються компоненти.,,
2.0,Аналіз та ТЗ,Отримання даних з Б52 для налаштуванню модулів(від клієнта),,,"Отримані необхідні дані для заповнення карток товару, специфікацій і т.д.",,
2.1,Аналіз та ТЗ,Детальне тестування та аналіз стороннього модуля Appointment (на демо-базі від вендора).,6,"6,1","Створено документ Gap-аналізу: (1) що покриває модуль, (2) чого не вистачає, (3) ризики та особливості.",,
2.2,Аналіз та ТЗ,Написання звіту для клієнта за результатами аналізу модуля Appointment.,2,1,"Фінальний документ (звіт) у форматі .pdf або Google Docs, готовий до відправки клієнту.",,
2.3,Аналіз та ТЗ,Формування детального переліку полів для картки клієнта (res.partner) та ТЗ на розробку.,2,"1,5","Чорновий варіант ТЗ з переліком полів, їх типами та логікою.",,
2.4,Аналіз та ТЗ,Валідація ТЗ по допрацювання картки клієнта з клієнтом.,2,,ТЗ фіналізовано та затверджено клієнтом.,,
3.0,Технічний контроль,Постановка задачі DevOps на розгортання Dev та Stage середовищ.,"0,25",2,"Задача створена в трекері, описана, призначена.",,
1.0,Адміністрування системи,Розгортання Dev та Stage середовищ.,2,,"Середовища доступні, версії коду відповідають очікуваним.",,
3.1,Технічний контроль,Приймання та перевірка Dev/Stage середовищ.,"0,25",,"Середовища доступні, версії коду відповідають очікуваним, можна налаштовувати модулі та наповнювати базу демо-даними.",,
Всього:,,,"21,5","14,5",,11.08.2025,15.08.2025
